date,ppl,geo,gtype,glat,glon,gbox0,gbox1,gbox2,gbox3,ginfo,desc
1860年7月7日,古斯塔夫·马勒,Kaliště,village,44.514643,21.3136554,44.494642999999996,44.534643,21.2936554,21.333655399999998,Калиште-Браничевски управни округ-Централна Србија-塞尔维亚,[1860年7月7日]，{古斯塔夫·马勒}在<Kaliště>出生。
1871年,古斯塔夫·马勒,布拉格,city,50.0874654,14.4212535,49.9419006,50.1774301,14.2244355,14.7067869,布拉格-okres Hlavní město Praha-Hlavní město Praha-Praha-捷克,为了提高其成绩，{古斯塔夫·马勒}于[1871年]被送到<布拉格>的一所新学校中，但并不快乐，不久后又回到<Jihlava>。
1871年,古斯塔夫·马勒,Jihlava,city,49.396064,15.5903065,49.333937799999994,49.47592279999999,15.498312599999998,15.662349800000005,Jihlava-okres Jihlava-Kraj Vysočina-Jihovýchod-捷克,为了提高其成绩，{古斯塔夫·马勒}于[1871年]被送到<布拉格>的一所新学校中，但并不快乐，不久后又回到<Jihlava>。
1881年,古斯塔夫·马勒,卢布尔雅那,city,46.0498146,14.5067824,45.9740637,46.1459968,14.408617,14.755332,卢布尔雅那-Upravna Enota Ljubljana-Osrednjeslovenska-斯洛文尼亚,[1881年]{古斯塔夫·马勒}来到了<卢布尔雅那>，那里的剧院虽小但资源丰富，管理者也对拓展演出内容雄心勃勃。
1883年1月,古斯塔夫·马勒,Olomouc,city,49.5940567,17.251143,49.534698799999994,49.6619655,17.1621222,17.396068,Olomouc-okres Olomouc-Olomoucký kraj-Střední Morava-捷克,[1883年1月]，{古斯塔夫·马勒}当上了<Olomouc>一家剧院的指挥。
1883年8月,古斯塔夫·马勒,卡塞尔,city,51.3090209,9.4762981,51.1490209,51.4690209,9.3162981,9.6362981,卡塞尔-Kassel-Regierungsbezirk Kassel-黑森州-34121-德国,[1883年8月]，{古斯塔夫·马勒}成为了<卡塞尔>市皇家剧院的音乐总监，不过这一头衔掩盖了{古斯塔夫·马勒}实际的下属地位。
1884年1月,古斯塔夫·马勒,卡塞尔,city,51.3090209,9.4762981,51.1490209,51.4690209,9.3162981,9.6362981,卡塞尔-Kassel-Regierungsbezirk Kassel-黑森州-34121-德国,[1884年1月]，当时名声斐然的指挥家汉斯·冯·彪罗来到了<卡塞尔>，{古斯塔夫·马勒}想争取到彪罗“永久助理”的职位未果。
1885年7月,古斯塔夫·马勒,布拉格,city,50.0874654,14.4212535,49.9419006,50.1774301,14.2244355,14.7067869,布拉格-okres Hlavní město Praha-Hlavní město Praha-Praha-捷克,{古斯塔夫·马勒}不愿意在卡塞尔停留，于是在[1885年7月]辞职，并在<布拉格>的布拉格国家歌剧院获得助理指挥的职位。
1886年,古斯塔夫·马勒,莱比锡,city,51.3406321,12.3747329,51.1806321,51.5006321,12.2147329,12.5347329,莱比锡-Leipzig-萨克森自由州-04109-德国,[1886年]，{古斯塔夫·马勒}与驰名的<莱比锡>新剧院签订了6年的合同。
1886年,古斯塔夫·马勒,莱比锡,city,51.3406321,12.3747329,51.1806321,51.5006321,12.2147329,12.5347329,莱比锡-Leipzig-萨克森自由州-04109-德国,[1886年]，{古斯塔夫·马勒}与驰名的<莱比锡>新剧院签订了6年的合同。
1886年,古斯塔夫·马勒,莱比锡,city,51.3406321,12.3747329,51.1806321,51.5006321,12.2147329,12.5347329,莱比锡-Leipzig-萨克森自由州-04109-德国,[1886年]{古斯塔夫·马勒}离开布拉格，来到<莱比锡>新国家歌剧院，在此与年长的同事尼基施·阿图尔发生了争执，矛盾主要关于二人在新推出的《尼伯龙根的指环》四联剧中如何分工。
1886年,古斯塔夫·马勒,莱比锡,city,51.3406321,12.3747329,51.1806321,51.5006321,12.2147329,12.5347329,莱比锡-Leipzig-萨克森自由州-04109-德国,[1886年]{古斯塔夫·马勒}离开布拉格，来到<莱比锡>新国家歌剧院，在此与年长的同事尼基施·阿图尔发生了争执，矛盾主要关于二人在新推出的《尼伯龙根的指环》四联剧中如何分工。
1888年,古斯塔夫·马勒,布达佩斯,city,47.4983815,19.0404707,47.349689899999994,47.6131468,18.9251057,19.3349258,布达佩斯-Budapest-Közép-Magyarország-匈牙利,[1888年]{古斯塔夫·马勒}来到<布达佩斯>时，发现匈牙利的民族主义者与德奥文化传统的拥护者之间发生着冲突。
