time,person,location,thing
1875年2月2日,弗里茨·克莱斯勒,奥匈帝国,[1875年2月2日]，{弗里茨·克莱斯勒}在<奥匈帝国><奥地利><维也纳>出生。
1875年2月2日,弗里茨·克莱斯勒,奥地利,[1875年2月2日]，{弗里茨·克莱斯勒}在<奥匈帝国><奥地利><维也纳>出生。
1875年2月2日,弗里茨·克莱斯勒,维也纳,[1875年2月2日]，{弗里茨·克莱斯勒}在<奥匈帝国><奥地利><维也纳>出生。
1882年,弗里茨·克莱斯勒,维也纳,[1882年]，{弗里茨·克莱斯勒}进入<维也纳>音乐与表演艺术大学师从约瑟夫·黑尔梅斯伯格学习小提琴，并跟随{安东·布鲁克纳}学习乐理；这是<维也纳>音乐学院第一次破例招收10岁以下的学生。
1882年,安东·布鲁克纳,维也纳,[1882年]，{弗里茨·克莱斯勒}进入<维也纳>音乐与表演艺术大学师从约瑟夫·黑尔梅斯伯格学习小提琴，并跟随{安东·布鲁克纳}学习乐理；这是<维也纳>音乐学院第一次破例招收10岁以下的学生。
1884年,弗里茨·克莱斯勒,维也纳,[1884年]，{弗里茨·克莱斯勒}赢得<维也纳>音乐学院大赛金奖，奖品是一把四分之三的Amati。
1885年-1887年,弗里茨·克莱斯勒,巴黎,[1885年-1887年]，{弗里茨·克莱斯勒}获得一笔奖学金，在<巴黎>国立高等音乐舞蹈学院学习，导师包括在<巴黎>音乐学院执教五十余年的约瑟夫·马萨，{莱奥·德利布}和{儒勒·马斯内}等。
1885年-1887年,莱奥·德利布,巴黎,[1885年-1887年]，{弗里茨·克莱斯勒}获得一笔奖学金，在<巴黎>国立高等音乐舞蹈学院学习，导师包括在<巴黎>音乐学院执教五十余年的约瑟夫·马萨，{莱奥·德利布}和{儒勒·马斯内}等。
1885年-1887年,儒勒·马斯内,巴黎,[1885年-1887年]，{弗里茨·克莱斯勒}获得一笔奖学金，在<巴黎>国立高等音乐舞蹈学院学习，导师包括在<巴黎>音乐学院执教五十余年的约瑟夫·马萨，{莱奥·德利布}和{儒勒·马斯内}等。
1887年,弗里茨·克莱斯勒,巴黎,[1887年]，<巴黎>音乐学院举行音乐大赛，其{弗里茨·克莱斯勒}参赛者个个比他年长十余岁，由于他的镇静和出色演奏，人们知道{弗里茨·克莱斯勒}必定入围，但结果出人意外，在<巴黎>国立高等音乐舞蹈学院毕业赛一等奖的五位获一等奖的小提琴手名单中，{弗里茨·克莱斯勒}名列前茅，特被授予“一等的一等奖”；这在<巴黎>音乐学院是史无前例的。
1888年,弗里茨·克莱斯勒,美国,[1888年]钢琴家莫利茨·罗森塔尔邀请{弗里茨·克莱斯勒}到<美国>同台演出50场，每场50美元，并答应母亲同行。
1888年11月,弗里茨·克莱斯勒,波士顿,[1888年11月]，{弗里茨·克莱斯勒}首次在<波士顿>登台演出，演奏门德尔松小提琴协奏曲；演奏中小提琴的E弦断了，{弗里茨·克莱斯勒}在A弦的高位继续演奏。
1889年3月1日,弗里茨·克莱斯勒,芝加哥,[1889年3月1日]，{弗里茨·克莱斯勒}在<芝加哥>开始演出。
