geo,ginfo,gtype,glat,glon,gbox0,gbox1,gbox2,gbox3
哥本哈根,哥本哈根-Københavns Kommune-Region Hovedstaden-1357-丹麦,city,55.6867243,12.5700724,55.52672430000001,55.8467243,12.4100724,12.7300724
里伯,里伯-Esbjerg Kommune-南丹麦大区-丹麦,town,55.3284036,8.7647838,55.3229625,55.3610824,8.7534306,8.7992802
Livigno,Livigno-Comunità Montana Alta Valtellina-松德里奥省-LOM-意大利,administrative,46.5378006,10.1363165,46.4210606,46.6259355,10.0391547,10.2191023
巴黎,巴黎-法兰西岛大区-法国-法国,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602
维也纳,维也纳-Wien-1010-奥地利,city,48.2083537,16.372504199999998,48.0483537,48.3683537,16.212504199999998,16.532504199999998
纽约,纽约-纽约州-美国,city,40.7127281,-74.0060152,40.477399,40.9161785,-74.25909,-73.7001809
罗马,罗马-RM-LAZ-意大利,city,41.894802,12.4853384,41.6556417,42.1410285,12.2344669,12.8557603
布拉格,布拉格-okres Hlavní město Praha-Hlavní město Praha-Praha-捷克,city,50.0874654,14.4212535,49.9419006,50.1774301,14.2244355,14.7067869
美国,美国,administrative,39.7837304,-100.4458825,-14.7608358,71.6048217,-180.0,180.0
莫斯科,莫斯科-Центральный административный округ-Москва-ЦФО-俄罗斯,city,55.7504461,37.6174943,55.4913076,55.95740970000001,37.290502,37.9674277
阿尔及尔,阿尔及尔-Sidi M'Hamed-阿尔及尔-16007-阿尔及利亚,city,36.775348,3.0600650000000003,36.615348,36.935348,2.900065,3.220065
欧洲,欧洲,continent,51.0,10.0,50.99995,51.00005,9.99995,10.00005
俄罗斯,俄罗斯,administrative,64.6863136,97.7453061,41.1850968,82.05862320000001,-180.0,180.0
Verviers,Verviers-列日-Wallonie-4800-比利时,administrative,50.5932274,5.8638544,50.5492321,50.6258273,5.8130414,5.9256531
布鲁塞尔,布鲁塞尔-Ville de Bruxelles - Stad Brussel-Brussel-Hoofdstad - Bruxelles-Capitale-Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest-比利时,administrative,50.8436709,4.36743669338796,50.7964079,50.8904108,4.3355956,4.4020115
纽约州,纽约州-美国,administrative,43.1561681,-75.84499459999998,40.477399,45.0158611,-79.761944,-71.7955694
圣彼得堡,圣彼得堡-Центральный район-Санкт-Петербург-Северо-Западный федеральный округ-190000-俄罗斯,city,59.938732,30.316229,59.7441481,60.0907368,30.0433427,30.56716620000001
敖德萨,Salzburg-5020-奥地利,administrative,47.8028273,13.057954916199,47.7512115,47.8543925,12.9856478,13.1272842
Menlo Park,Menlo Park-圣马刁县-加利福尼亚州-美国,administrative,37.453827399999994,-122.18218710000001,37.41692000000001,37.534335999999996,-122.22911770000002,-122.081699
