date,ppl,geo,gtype,glat,glon,gbox0,gbox1,gbox2,gbox3,ginfo,desc
1838年1月6日,马克斯·布鲁赫,科隆,city,50.938361,6.959974000000001,50.8304494,51.0849743,6.7725303,7.162028,科隆-Regierungsbezirk Köln-北莱茵-威斯特法伦-德国,1838年1月6日，马克斯·布鲁赫在科隆出生。
1920年10月2日,马克斯·布鲁赫,柏林,city,52.5170365,13.388859900000002,52.3570365,52.6770365,13.228859900000002,13.548859900000002,柏林-10117-德国,1920年10月2日，马克斯·布鲁赫在柏林逝世。
1799年5月27日,雅克·弗洛蒙塔尔·阿莱维,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1799年5月27日，雅克·弗洛蒙塔尔·阿莱维在巴黎出生。
1809年,雅克·弗洛蒙塔尔·阿莱维,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1809年，雅克·弗洛蒙塔尔·阿莱维进入巴黎国立高等音乐舞蹈学院从路易吉·凯鲁比尼学习。
1809年,路易吉·凯鲁比尼,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1809年，雅克·弗洛蒙塔尔·阿莱维进入巴黎国立高等音乐舞蹈学院从路易吉·凯鲁比尼学习。
1819年,雅克·弗洛蒙塔尔·阿莱维,罗马,city,41.894802,12.4853384,41.6556417,42.1410285,12.2344669,12.8557603,罗马-RM-LAZ-意大利,1819年，雅克·弗洛蒙塔尔·阿莱维获得罗马大奖。
1836年,雅克·弗洛蒙塔尔·阿莱维,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1836年，雅克·弗洛蒙塔尔·阿莱维进入法兰西学会，后在巴黎音乐学院任教。
1862年3月17日,雅克·弗洛蒙塔尔·阿莱维,尼斯,city,43.700935799999996,7.2683912,43.6454189,43.7607635,7.1819535000000005,7.323912,尼斯-滨海阿尔卑斯省-Provence-Alpes-Côte d'Azur-法国-法国,1862年3月17日，雅克·弗洛蒙塔尔·阿莱维在尼斯逝世。
1803年7月24日,阿道夫·亚当,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1803年7月24日，阿道夫·亚当在巴黎出生。
1856年5月3日,阿道夫·亚当,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1856年5月3日，阿道夫·亚当在巴黎逝世。
