date,ppl,geo,gtype,glat,glon,gbox0,gbox1,gbox2,gbox3,ginfo,desc,ppls
1895年4月3日,马里奥·卡斯泰尔诺沃·泰代斯科,佛罗伦萨,city,43.769871200000004,11.2555757,43.72587160000001,43.8354631,11.149759800000002,11.3389044,佛罗伦萨-FI-TOS-意大利,1895年4月3日，马里奥·卡斯泰尔诺沃·泰代斯科在佛罗伦萨出生。,马里奥·卡斯泰尔诺沃·泰代斯科
1968年3月16日,马里奥·卡斯泰尔诺沃·泰代斯科,Beverly Hills,city,34.0696501,-118.3963062,34.052690000000005,34.112456,-118.42707320000001,-118.3715358,Beverly Hills-Los Angeles County-加利福尼亚州-美国,1968年3月16日，马里奥·卡斯泰尔诺沃·泰代斯科在Beverly Hills逝世。,马里奥·卡斯泰尔诺沃·泰代斯科
1873年3月19日,马克斯·雷格,布兰德,crossing,50.0924187,8.6304691,50.0923687,50.09246870000001,8.6304191,8.630519099999999,BÜ-Gutleutstraße-Gutleutviertel-法兰克福-Frankfurt-Regierungsbezirk Darmstadt-黑森州-60327-德国,1873年3月19日，马克斯·雷格在布兰德出生。,马克斯·雷格
1916年5月16日,马克斯·雷格,莱比锡,city,51.3406321,12.3747329,51.1806321,51.5006321,12.2147329,12.5347329,莱比锡-Leipzig-萨克森自由州-04109-德国,1916年5月16日，马克斯·雷格在莱比锡逝世。,马克斯·雷格
1916年5月16日,马克斯·雷格,莱比锡,city,51.3406321,12.3747329,51.1806321,51.5006321,12.2147329,12.5347329,莱比锡-Leipzig-萨克森自由州-04109-德国,1916年5月16日，马克斯·雷格在莱比锡逝世。,马克斯·雷格
1838年1月6日,马克斯·布鲁赫,科隆,city,50.938361,6.959974000000001,50.8304494,51.0849743,6.7725303,7.162028,科隆-Regierungsbezirk Köln-北莱茵-威斯特法伦-德国,1838年1月6日，马克斯·布鲁赫在科隆出生。,马克斯·布鲁赫
1920年10月2日,马克斯·布鲁赫,柏林,city,52.5170365,13.388859900000002,52.3570365,52.6770365,13.228859900000002,13.548859900000002,柏林-10117-德国,1920年10月2日，马克斯·布鲁赫在柏林逝世。,马克斯·布鲁赫
1874年8月9日,雷纳尔多·哈恩,Caracas,city,10.506098,-66.9146017,10.346098,10.666098,-67.0746017,-66.7546017,卡拉卡斯-Municipio Libertador-Distrito Capital-Región Capital-1010-A-委内瑞拉,1874年8月9日，雷纳尔多·哈恩在Caracas出生。,雷纳尔多·哈恩
1877年,雷纳尔多·哈恩,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1877年，雷纳尔多·哈恩就和父母一起来到巴黎。,雷纳尔多·哈恩
1884年,雷纳尔多·哈恩,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1884年，雷纳尔多·哈恩进入巴黎国立高等音乐舞蹈学院。,雷纳尔多·哈恩
1947年1月28日,雷纳尔多·哈恩,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1947年1月28日，雷纳尔多·哈恩在巴黎逝世。,雷纳尔多·哈恩
1799年5月27日,雅克·弗洛蒙塔尔·阿莱维,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1799年5月27日，雅克·弗洛蒙塔尔·阿莱维在巴黎出生。,雅克·弗洛蒙塔尔·阿莱维
1809年,雅克·弗洛蒙塔尔·阿莱维,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1809年，雅克·弗洛蒙塔尔·阿莱维进入巴黎国立高等音乐舞蹈学院从路易吉·凯鲁比尼学习。,雅克·弗洛蒙塔尔·阿莱维 路易吉·凯鲁比尼
1809年,路易吉·凯鲁比尼,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1809年，雅克·弗洛蒙塔尔·阿莱维进入巴黎国立高等音乐舞蹈学院从路易吉·凯鲁比尼学习。,雅克·弗洛蒙塔尔·阿莱维 路易吉·凯鲁比尼
1819年,雅克·弗洛蒙塔尔·阿莱维,罗马,city,41.894802,12.4853384,41.6556417,42.1410285,12.2344669,12.8557603,罗马-RM-LAZ-意大利,1819年，雅克·弗洛蒙塔尔·阿莱维获得罗马大奖。,雅克·弗洛蒙塔尔·阿莱维
1836年,雅克·弗洛蒙塔尔·阿莱维,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1836年，雅克·弗洛蒙塔尔·阿莱维进入法兰西学会，后在巴黎音乐学院任教。,雅克·弗洛蒙塔尔·阿莱维
1862年3月17日,雅克·弗洛蒙塔尔·阿莱维,尼斯,city,43.700935799999996,7.2683912,43.6454189,43.7607635,7.1819535000000005,7.323912,尼斯-滨海阿尔卑斯省-Provence-Alpes-Côte d'Azur-法国-法国,1862年3月17日，雅克·弗洛蒙塔尔·阿莱维在尼斯逝世。,雅克·弗洛蒙塔尔·阿莱维
1900年11月4日,阿隆·科普兰,布鲁克林,administrative,-37.8160898,144.8414748,-37.8256838,-37.8022825,144.8213055,144.85983000000004,布鲁克林-City of Brimbank-维多利亚州-澳大利亚,1900年11月4日，阿隆·科普兰在布鲁克林出生。,阿隆·科普兰
1915年,阿隆·科普兰,波兰,administrative,52.0179355,19.195473038804103,49.0020468,55.0336963,14.1229707,24.145783,波兰,1915年，阿隆·科普兰聆听了波兰钢琴家伊格纳奇·扬·帕德雷夫斯基的一场音乐会后，决定以作曲为职业。,阿隆·科普兰 伊格纳奇·扬·帕德雷夫斯基
1915年,伊格纳奇·扬·帕德雷夫斯基,波兰,administrative,52.0179355,19.195473038804103,49.0020468,55.0336963,14.1229707,24.145783,波兰,1915年，阿隆·科普兰聆听了波兰钢琴家伊格纳奇·扬·帕德雷夫斯基的一场音乐会后，决定以作曲为职业。,阿隆·科普兰 伊格纳奇·扬·帕德雷夫斯基
1921年,阿隆·科普兰,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1921年阿隆·科普兰前往巴黎，成为娜迪亚·布朗热门下第一个正式的美国学生。,阿隆·科普兰 娜迪亚·布朗热
1921年,娜迪亚·布朗热,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1921年阿隆·科普兰前往巴黎，成为娜迪亚·布朗热门下第一个正式的美国学生。,阿隆·科普兰 娜迪亚·布朗热
1990年12月2日,阿隆·科普兰,纽约州,administrative,43.1561681,-75.84499459999998,40.477399,45.0158611,-79.761944,-71.7955694,纽约州-美国,1990年12月2日，阿隆·科普兰在纽约州逝世。,阿隆·科普兰
1803年7月24日,阿道夫·亚当,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1803年7月24日，阿道夫·亚当在巴黎出生。,阿道夫·亚当
1856年5月3日,阿道夫·亚当,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,1856年5月3日，阿道夫·亚当在巴黎逝世。,阿道夫·亚当
1883年11月8日,阿诺德·巴克斯,伦敦,city,51.5073219,-0.1276474,51.3473219,51.6673219,-0.2876474,0.0323526,伦敦-Greater London-英格兰-SW1A 2DX-英国,1883年11月8日，阿诺德·巴克斯在伦敦出生。,阿诺德·巴克斯
1953年10月3日,阿诺德·巴克斯,科克,city,51.8979282,-8.4705806,51.7379282,52.0579282,-8.6305806,-8.3105806,科克-Cork City 2019-科克-Munster-T12 EE6N-爱尔兰,1953年10月3日，阿诺德·巴克斯在爱尔兰科克逝世。,阿诺德·巴克斯
1893年,阿瑟·本杰明,悉尼,city,-33.8548157,151.2164539,-34.173241600000004,-33.3641481,150.260825,151.3427428,悉尼-新南威尔士州-澳大利亚,1893年，阿瑟·本杰明生于悉尼，后到英国师事查尔斯·维利尔斯·斯坦福。,阿瑟·本杰明 查尔斯·维利尔斯·斯坦福
1893年,查尔斯·维利尔斯·斯坦福,悉尼,city,-33.8548157,151.2164539,-34.173241600000004,-33.3641481,150.260825,151.3427428,悉尼-新南威尔士州-澳大利亚,1893年，阿瑟·本杰明生于悉尼，后到英国师事查尔斯·维利尔斯·斯坦福。,阿瑟·本杰明 查尔斯·维利尔斯·斯坦福
1893年,阿瑟·本杰明,英国,administrative,54.70235450000001,-3.2765752999999997,49.674,61.06100000000001,-14.015517000000001,2.0919117,英国,1893年，阿瑟·本杰明生于悉尼，后到英国师事查尔斯·维利尔斯·斯坦福。,阿瑟·本杰明 查尔斯·维利尔斯·斯坦福
1893年,查尔斯·维利尔斯·斯坦福,英国,administrative,54.70235450000001,-3.2765752999999997,49.674,61.06100000000001,-14.015517000000001,2.0919117,英国,1893年，阿瑟·本杰明生于悉尼，后到英国师事查尔斯·维利尔斯·斯坦福。,阿瑟·本杰明 查尔斯·维利尔斯·斯坦福
